sent_id	left_context	pivot	right_context
train-s1054	शिवसेना के वरिष्ठ नेता मनोहर जोशी ने 	कहा	 है कि अब बाल ठाकरे ही इस मामले को देखेंगे । 
train-s1055	उन्होंने राज को बहुत परिपक्व नेता बताते हुए 	कहा	 कि बाला साहेब ही अपने भतीजे से बात करेंगे और ऐसा नहीं लगता कि इसे लेकर पार्टी में कोई बड़ा विवाद छिड़ेगा । 
train-s1056	जोशी ने 	कहा	 कि वह उद्धव और राज, दोनों से बात कर चुके हैं । 
train-s1130	कृषि मंत्रालय का 	मानना	 है कि बारिश का देर से बोई गई फसलों को फायदा मिलेगा । 
train-s1159	वहीं विशेषज्ञों का 	मानना	 है कि मानसून पूर्व बारिश से खरीफ की बुआई में तेजी आएगी । 
train-s1190	उसका कहना था कि हमने 	सोचा	 भी नहीं था कि दोनों तरफ से ऐसा कोई प्रयास होगा जो हमारे परिवार को मिलाएगा । 
train-s1192	शैली ने पहली बार अपने नाना को देखा है तथा वह 	चाहती	 है कि वह भी पाकिस्तान जाकर उनके पूरे परिवार से मिले । 
train-s1215	दरअसल, दिग्विजय ने पासवान को पहली मुलाकात में ही साफ 	कर	 दिया था कि कांग्रेस चुनाव नतीजों से पहले उनकी मुस्लिम मुख्यमंत्री की शर्त को स्वीकार करने के लिए तैयार नहीं है । 
train-s1223	उन्होंने 	कहा	 कि हम डीआरआई के साथ सहयोग करेंगे । 
train-s1251	मैंने 	ठान	 लिया था कि कहीं दूसरी जगह निकाह नहीं करूंगी । 
train-s1276	नई घोषणा पर शामलाल का 	कहना	 है कि लालू प्रसाद यादव जैसे उदार व्यक्ति का रेल मंत्री बनना उनके लिए वरदान से कम नहीं है । 
train-s1317	वह इस बात का इंतजार क्यों 	कर	 रहे हैं कि सरकार अध्यादेश लाकर उनके पदों को बचाए । 
train-s1327	बताते हैं कि पाकिस्तान 	चाहता	 है कि भारत और पाकिस्तान की सीमाएं बराबरी पर पीछे अपने क्षेत्रों की ओर लौटें । 
train-s1335	भारत का 	मानना	 है कि पाकिस्तान और भारत के बीच में द्वि पक्षीय व्यापार बढ़ने पर दोनों के बीच में संबंध सुधरेंगे । 
train-s1343	भाजपा के महासचिव गोपीनाथ मुंडे की पत्नी प्रज्ञा ने अदालत को 	बताया	 कि प्रवीण पैसे के लिए प्रमोद पर ही निर्भर था । 
train-s1345	उन्होंने अदालत से 	कहा	 कि जब उन पर हमला किया गया तब वह निहत्थे थे और ऐसे में वे कुछ नहीं कर सकते थे । 
train-s1348	प्रवीण के बेटे की ओर इशारा करते हुए उन्होंने 	कहा	 कि प्रमोद की वजह से ही वह स्वस्थ है और उसका पालन पोषण हो सका । 
train-s1353	सरकारी वकील उज्जवल निकम ने सुनवाई के बाद संवाददाताओं से 	कहा	 कि इस मामले में मुख्य गवाह प्रमोद महाजन का नौकर महेश वानखेड़े ८ मई को अपनी गवाही देगा । 
train-s1357		माना	 जा रहा है कि यदि उड़ानों पर प्रतिबंध लागू हो जाता है तो प्रतिदिन हजारों भारतीय प्रभावित होंगे । 
train-s1375	हालांकि विमान कंपनियां 	कह	 रही हैं कि यात्रियों में इस सूचना को लेकर किसी तरह की हड़बड़ी नहीं है और जुलाई तक के लिए एडवांस बुकिंग की जा रही है । 
train-s1376	जब भारतीय अधिकारियों से पूछा गया कि फ्लाइट कैंसिल होने पर यात्रियों के लिए क्या इंतजाम किए गए हैं तो उन्होंने 	कहा	, यदि ऐसा कुछ होता है तो एयरलाइंस यात्रियों को इसकी पूर्व सूचना उपलब्ध कराएगा । 
train-s1415	उन्होंने 	कहा	 कि वह द्विपक्षीय मसलों को सुलझाने के लिए प्रतिबद्ध हैं और इसके लिए प्रयास करने से पीछे नहीं हटेंगे । 
train-s1417	उन्होंने 	कहा	 कि जम्मू - कश्मीर के अलावा कई अन्य मसलों पर भी वार्ता होगी । 
train-s1418		माना	 जा रहा है कि भारत भी इस वार्ता के दौरान कश्मीर में बागी मुस्लिम आतंकवाद का मसला उठाएगा । 
train-s1420	खोखर ने 	कहा	 है कि पाकिस्तान में प्रधानमंत्री बदले जाने की स्थिति में भी भारत के साथ सकारात्मक बातचीत की प्रक्रिया प्रभावित नहीं होगी । 
train-s1424	पाकिस्तान के विदेश मंत्री खुर्शीद अहमद कसूरी ने एक चैनल पर साक्षात्कार में 	कहा	 कि कश्मीर मसले पर जो भी सहमति बनेगी वह कश्मीर के लोगों को स्वीकार्य होगी । 
train-s1425	कसूरी ने 	कहा	 कि इस मसले पर वह सभी से वार्ता करने को तैयार हैं । 
train-s1426	भारत का 	कहना	 है कि दोनों देशों के बीच सैन्य सहयोग और विश्वास बढ़ाने में भारत पीछे नहीं रहेगा, लेकिन कश्मीर के मामले में भारत अपने पुराने रुख से पीछे नहीं हटेगा । 
train-s1539	इस बीच लोकसभा में भाजपा के उप नेता विजय कुमार मलहोत्रा ने 	कहा	 कि संसद के दोनों सदनों में विपक्ष कार्यवाही ठप नहीं करेगा । 
train-s1540	उन्होंने 	बताया	 कि राजग के नेता इस मुद्दे पर भावी रणनीति तय करने के लिए सोमवार को संसद में मिलेंगे । 
train-s1556	बृहस्पतिवार को अंतिम समय में टैक्स रिटर्न दाखिल करने के लिए अभियान की शुरुआत करते हुए चिदंबरम ने 	कहा	 कि वे खुद ३१ अक्तूबर को आयकर विभाग जाकर अपना रिटर्न दाखिल करेंगे । 
train-s1566	उन्होंने 	बताया	 कि वे अक्टूबर तक मीडिया कार्य में व्यस्त रहेंगे । 
train-s1649	लोकसभा चुनाव परिणामों के बाद पहली प्रेस कांफ्रेंस में आडवाणी ने 	कहा	 कि उन्हें या दूसरे को ऐसे उलटफेर भरे परिणामों की उम्मीद नहीं थी । 
train-s1685	हम 	चाहते	 हैं कि चीन अपने सैन्य कार्यक्रम या आधुनिकीकरण को लेकर पारदर्शिता बरते । 
train-s1715	उन्होंने 	बताया	 कि भारत के साथ सैन्य अभ्यास के लिए दो चीनी युद्घपोत जल्द ही कोच्चि पहुंचेंगे । 
train-s1718	युक्सी ने 	कहा	 कि हमारे दो नौसैनिक युद्घपोत जल्द ही कोच्चि पहुंचेंगे । 
train-s1773	एक सवाल के जवाब में अभिषेक मनु संघवी ने 	कहा	 कि जसवंत सिंह पहले उस भेदिए के नाम का खुलासा करें । 
train-s1776	राज्य कांग्रेस अध्यक्ष पीरजादा मोहम्मद सईद ने शुक्रवार को मौलाना आजाद रोड पर स्थित राज्य कांग्रेस के मुख्यालय में संवाददाताओं को 	बताया	 कि ३० अक्तूबर को सीएलपी की बैठक होगी । 
train-s1781	सोनी ने 	बताया	 कि शपथग्रहण कार्यक्रम २ नवंबर को शेरे कश्मीर इंटरनेशनल कंवेंशन सेंटर में होगा । 
train-s1783	सूत्रों का 	कहना	 है कि आजाद मंत्रिमंडल सदस्यों के लिए निर्वर्तमान मुख्यमंत्री मुफ्ती मोहम्मद सईद, प्रधानमंत्री मनमोहन सिंह और सोनिया गांधी से चर्चा करेंगे । 
train-s1789	उन्होंने 	कहा	 कि दोनों पार्टियां देश की एकता के लिए व्यापक हित में मिलकर काम करेंगी । 
train-s1794	उन्होंने 	कहा	 कि शांति प्रक्रिया को आगे बढ़ाना व राज्य में विकास कार्यों में तेजी लाना सरकार की मुख्य कार्य सूची में शामिल होगा । 
train-s1817	मामले की जांच कराने की मांग करते हुए नायडू ने 	कहा	 कि जांच पूरी होने तक जोशी पार्टी से बाहर रहेंगे । 
train-s1822	उन्होंने 	कहा	 कि संघ परिवार और उसके नेतृत्व के लिए बेहतर होगा कि वह पहले अपने घर को ठीक करे । 
train-s1836	२६ दिसंबर को यहां पहुंचते ही कई नेताओं ने उनसे मिलकर 	कहा	 कि रिश्वत लेने वाले सांसदों के मुद्दे पर लोकसभा में उनका भाषण ठीक नहीं था । 
train-s1843	उन्होंने 	कहा	 कि इन केंद्रों के माध्यम से फसलों की नई किस्मों को देश भर में प्रदर्शन करेगा जिससे केंद्रों के राजस्व में भी बढ़ोतरी होगी । 
train-s1844	राय ने 	कहा	 कि जल्द ही केंद्रों में कार्य करने वाले कर्मचारियों और अधिकारियों के पदनाम घोषित होंगे और प्रत्येक केंद्र को एक लाख रुपये दिए जाएंगे जिससे वे अपने मल्टीमीडिया नेटवर्क को बेहतर बनाएंगे । 
train-s1858	उनका 	कहना	 है कि ६ साल का वाजपेयी सरकार का कार्यकाल भाजपा के लिए भविष्य में बड़ी पूंजी साबित होगी । 
train-s1859	आडवाणी ने आज यह रहस्योद्घाटन भी 	किया	 कि फीलगुड जुमला का चुनाव में इस्तेमाल करना उनकी ही रणनीति थी । 
train-s1901	रक्षा बजट में इज़ाफ़े का विरोध करते हुए उन्होंने 	कहा	 कि मौजूदा हालात में रक्षा बजट में किसी तरह की बढ़ोतरी की जरूरत नहीं है. 
train-s1947	राज्यसभा में प्रश्नकाल के दौरान विदेश मंत्री नटवर सिंह ने 	कहा	 कि पाकिस्तानी राष्ट्रपति परवेज़ मुशर्रफ़ हाल के भारत दौरे में इस बात से सहमत थे कि सियाचिन मसले के हल के लिए तत्काल कदम उठाए जाने की आवश्यकता है. 
train-s1953	नेपाल में हाल में हुई नए राजनीतिक घटनाक्रम पर भारत ने 	कहा	 है कि वहां के नरेश ज्ञानेंद्र द्वारा देश में आपातकाल हटाए जाने व राजनीतिक बंदियों के छोड़े जाने के आश्वासन के बाद ऐसा किया जाना दुखद है. 
train-s1954	इस बारे में राज्यसभा में एक प्रश्न के जवाब में विदेश मंत्री नटवर सिंह ने 	कहा	 कि नेपाल नरेश ज्ञानेंद्र द्वारा प्रधानमंत्री मनमोहन सिंह व उन्हें देश में आपातकाल हटाए जाने, राजनीतिक कैदियों के छोड़े जाने व लोकतांत्रिक प्रक्रिया जल्द शुरू किए जाने के आश्वासन देने के बाद यह कार्रवाई करना खेद जनक है. 
train-s2037	अधिकारी 	मानते	 हैं कि राज्य में फ़र्जी भारतीय नागरिकों की संख्या काफ़ी अधिक होगी. 
train-s2043	वेंकैया ने 	कहा	 कि विधायक किसी भी मामले को ज्यादा हवा न दें. 
train-s2044	वहीं विपक्ष के नेता अमरसिंह चौधरी ने 	कहा	 है कि विधायकों के तेवरों को देखते हुए मोदी का जाना तय है. 
train-s2054	भाजपा अध्यक्ष ने सोलंकी और उनके साथी विधायकों को सलाह 	दी	 कि अगर कोई समस्या है तो वे लोग विधानसभा सत्र के बाद संपर्क करें. 
train-s2124	लोकसभा में प्रश्नोत्तरकाल में गृहमंत्री ने 	कहा	 कि केंद्र का मानना है कि नक्सल समस्या को सि‍र्फ़ पुलिस के बल पर ही खत्म नहीं किया जा सकता. 
train-s2142	दोनों देशों के बीच समानताओं का ज़िक्र करते हुए हुसैन ने 	कहा	 कि ढाका को आगामी सार्क सम्मेलन के लिए भारत के प्रधानमंत्री मनमोहन सिंह की यात्रा का इंतजार रहेगा. 
train-s2179	रोहित ने अब आयोग और पुलिस को इस बात का भरोसा 	दिलाया	 है कि उसके परिवार वाले चाहे या न चाहे वह अपनी पत्नी और अपनी बेटी को साथ रखेगा. 
train-s2196	उन्होंने 	बताया	 कि शेरनाज गांधी को इस समय पहले की तुलना में पेंशन की ज़्यादा ज़रूरत है. 
train-s2282	पार्टी के वरिष्ठ नेता अहमद पटेल ने 	कहा	 कि यदि यूपीए के घटक दलों को कोई शिकायत है, तो अध्यक्ष सोनिया गांधी उनसे बात करने के लिए तैयार हैं । 
train-s2295	दूसरी ओर राज्य के उच्च अधिकारियों का 	कहना	 है कि यदि फरवरी में हुए चुनाव की तरह सुरक्षा बलों की तैनाती की जाएगी तो एक दिन में मतदान कराने के लिए अर्ध सैन्य बलों की दो हजार टुकड़ियों की जरूरत होगी । 
train-s2296	दल को 	बताया	 गया कि पुनरीक्षित मतदाता सूची के प्रकाशन, फोटो पहचान के वितरण और पोलिंग बूथ की तैयारियों में भी समय लगेगा । 
train-s2300	दिल्ली रवाना होने से पहले आनंद कुमार ने पत्रकारों से 	कहा	 कि हम अपनी रिपोर्ट आयोग को पेश करेंगे । 
train-s2312	अदालत ने अमरमणि की अर्जी स्वीकार करते हुए डीएम व एसएसपी को निर्देश 	दिए	 कि वे अमरमणि व मधुमणि को विशेष सुरक्षा में पेशी पर लाने की व्यवस्था सुनिश्चित करें. 
train-s2360	सरोजनी नगर मार्केट में अबरोल संस के अतुल अबरोल का 	कहना	 है कि मार्केट को बंद करना समस्या का हल नहीं है. 
train-s2368	तमिलनाडु में जयललिता के साथ लोकसभा चुनाव लड़ने के जख्म सहला रही भाजपा ने रविवार को एक तरह से साफ 	कर	 दिया कि उनसे दोस्ती जारी रखने का जोखिम वह नहीं उठाएगी. 
train-s2374	वेंकैया ने कहा कि चुनाव में हार से जुड़े मसलों पर उन्होंने अब तक जयललिता से बातचीत नहीं की है लेकिन 	कहा	 कि जरूरत पड़ने पर वह जरूर बात करेंगे. 
train-s2425	गृह सचिव वी. के. दुग्गल ने पाक गृह सचिव कमाल शाह के साथ एक संयुक्त प्रेस कान्फ्रेंस में 	कहा	 कि दोनों देश अपने यहां किसी भी पड़ोसी नागरिक की गिरफ्तारी को तत्काल अधिसूचित करेंगे और इसके तीन माह के भीतर सभी से राजनयिकों को मिलने की अनुमति देंगे. 
train-s2434	नशीले पदार्थों की तस्करी पर दुग्गल ने 	कहा	 कि इसको रोकने के लिए दोनों देशों की नारकोटिक्स कंट्रोल एजेंसियां जल्द ही एक सहमति पर दस्तखत करेंगी. 
train-s2476	मुख्यमंत्री विलासराव देशमुख ने 	कहा	 है कि स्थिति के मद्देनजर सोमवार को मुंबई, ठाणे और रायगढ़ में सभी स्कूल, कालेज और अन्य शैक्षणिक संस्थान बंद रहेंगे । 
train-s2490	भाजपा के मनोनीत अध्यक्ष राजनाथ सिंह ने शनिवार को 	कहा	 कि अटल बिहारी वाजपेयी और लालकृष्ण आडवाणी की प्रेरणा उनकी ताकत रहेगी । 
train-s2492	जबकि राष्ट्रीय स्वयं सेवक संघ के मुख्य ऑर्गनाइजर को दिए गए साक्षात्कार में राजनाथ ने 	कहा	 कि पार्टी अपनी विचारधारा पर कायम रहेगी, क्योंकि यह आम आदमी को आकर्षित करती है । 
train-s2494	उन्होंने 	कहा	 कि वाजपेयी ने १९८० में भाजपा सम्मेलन में जो संदेश दिया था, वह उसी पर चलेंगे । 
train-s2496	उन्होंने 	कहा	 कि वह आडवाणी के सुराज, शुचिता और सुरक्षा के मंत्र का भी पालन करेंगे । 
train-s2499	राजनाथ ने 	कहा	 कि भाजपा अपनी उसी राजनीतिक विचारधारा के मुताबिक ही आगे बढ़ेगी, जिस कारण इसकी स्थापना हुई है । 
train-s2501	उन्होंने 	कहा	 कि वह २ जनवरी को अध्यक्ष पद ग्रहण करने के बाद अपनी बात कहेंगे । 
train-s2517	पिछले साल उन्होंने अपने फिल्म निर्देशकों व निर्माताओं को राजी 	करा	 लिया था कि वे पर्दे पर उन्हें धूम्रपान के लिए मजबूर नहीं करेंगे. 
train-s2571	उल्लेखनीय है कि आतंकवाद के खतरे के मद्देनजर प्रधानमंत्री ने कथित तौर पर 	कहा	 था कि इसका पाकिस्तान के साथ वार्ता पर कोई प्रभाव नहीं पड़ेगा. 
train-s2582	उन्होंने 	कहा	 कि सरकार नक्सल आंदोलन को समाप्त करने के लिए सीधे सेना को शामिल करने के पक्ष में नहीं है. 
train-s2642	तमिलनाडु और केरल के सुनामी प्रभावित इलाकों का दौरा करने के बाद प्रधानमंत्री मनमोहन सिंह ने आज 	कहा	 कि सरकार राहत और पुनर्वास के लिए हर संभव मदद करेगी. 
train-s2643	उन्होंने 	कहा	 कि सरकार इस प्राकृतिक आपदा से प्रभावित हर परिवार का ध्यान रखेगी. 
train-s2646	मनमोहन ने 	कहा	 कि वह तमिलनाडु और पांडिचेरी के मुख्यमंत्रियों से बात कर उनके फंड के लिए बात करेंगे. 
train-s2647	मनमोहन ने 	कहा	 कि सुनामी से बुरी तरह प्रभावित अंडमान निकोबार के पुनर्वास और राहत का सारा खर्च सरकार उठाएगी. 
train-s2657	पुत्थुकुंगर के राहत शिविर में प्रभावित लोगों से मिलने के बाद मनमोहन ने आश्वासन 	दिया	 कि इस तबाही में अनाथ हो गए बच्चों का सरकार पूरा ध्यान रखेगी. 
train-s2673	मुंबई पुलिस की अपराध शाखा के एक वरिष्ठ अधिकारी ने 	बताया	 कि '1 हमें इस बात की खास जानकारी है कि दाऊद ने निवेश के लिए अपना रुख कराची की ओर किया है । 
train-s2716	यूडीएफ के एक वरिष्ठ नेता ने 	कहा	 कि चांडी के लिए मंत्रियों का समीकरण बिठाना आसान नहीं होगा । 
train-s2721	(मूल्यांकन) शीर्षक के तहत अधिकृत तौर पर शिक्षकों और लेखकों को निर्देश 	दिया	 गया है कि वह जिहाद, मुस्लिम इतिहास और संस्कृति के बारे में तकरीर देते समय अपनी भावनाओं को भी टटोलें. 
train-s2729	उन्होंने 	कहा	 कि आयकर अधिनियम की धारा २८५ -JOIN बीए के स्थान पर लाए गए वित्त अधिनियम २००४ में ५० हजार रुपये से अधिक के खर्च के लिए एआईआर भरना जरूरी है. 
train-s2750	लालू ने इसे सरासर गलत और कानून के विरुद्ध बताते हुए 	कहा	 कि वह कर्नाटक सरकार के इस कदम के खिलाफ कांग्रेस अध्यक्ष सोनिया गांधी से शिकायत करेंगे. 
train-s2752	उन्होंने मणिशंकर अय्यर को सलाह 	दी	 कि वीर सावरकर विवाद पर वह शिवसेना और भाजपा के दबाव के आगे कतई न झुकें. 
train-s2753	हुबली में प्रथम श्रेणी के न्यायिक मजिस्ट्रेट मोहम्मद इस्माइल ने मंगलवार को अतिरिक्त लोक अभियोजक एन नागेंद्र से 	कहा	 कि वह उमा पर मामला वापस लेने की लिखित प्रार्थना दें. 
train-s2761	कर्नाटक की धरम सिंह सरकार ने उमा पर मामले दोबारा खुलवाने का फैसला लिया था लेकिन सोमवार को राज्य के महाधिवक्ता ने हाई कोर्ट में यह कहकर 	चौंका	 दिया कि सरकार मामले वापस लेने पर सहमत है. 
train-s2797	पुलिस ने लोगों से अपील 	की	 है कि उक्त बैग वहाँ रखने वाले अथवा खरीदने वालों की जानकारी पुलिस तक पहुँचाएं. 
train-s2835	उन्होंने 	कहा	 कि संयुक्त राष्ट्र को वैधता बनाए रखनी है, तो हमारा मानना है कि भारत को उसका सदस्य होना चाहिए । 
train-s2839	हालांकि उन्होंने 	कहा	 कि ब्रिटेन हाल ही में यात्रा को लेकर जारी अपनी चेतावनी की समीक्षा करेगा, जिसमें कश्मीर में अभी भी काफी तनाव होने का दावा करते हुए अपने नागरिकों को वहाँ जारी हिंसा की वजह से न जाने की सलाह दी गई थी । 
train-s2861	प्रधानमंत्री और अपुंबा लुप की बैठक के बाद प्रवक्ता ने संवाददाताओं को बताया कि प्रधानमंत्री मनमोहन सिंह ने 	कहा	 है कि वह मणिपुर में सशस्त्र सेना विशेष अधिकार अधिनियम (एएफएसपीए) के बदले एक नया नरम कानून लाने पर अवश्य ही विचार करेंगे । 
train-s2863	उन्होंने 	बताया	 कि मणिपुर के ताजा हालात का जायजा लेने के लिए प्रधानमंत्री इसी महीने मणिपुर की यात्रा करेंगे । 
train-s2869	उन्होंने 	कहा	 कि संगठन के नेता प्रधानमंत्री के रुख से खुश हैं । 
train-s3017	सोमवार से शुरू हो रही पाकिस्तान यात्रा से पहले अलगाववादी संगठन हुर्रियत कांफ्रेंस ने रविवार को 	कहा	 कि वह कश्मीर मुद्दे पर पाकिस्तान के राष्ट्रपति परवेज मुशर्रफ और अन्य नेताओं से बातचीत करेगी । 
train-s3025	उन्होंने 	कहा	 कि हम कश्मीर समाधान के बारे में पीओके के नेतृत्व से भी बातचीत करेंगे । 
train-s3026	केन्द्र से दूसरे दौर की वार्ता की संभावना के बारे में पूछे जाने पर उन्होंने 	कहा	 कि हुर्रियत किसी भी समय बातचीत के लिए तैयार है हालांकि मानवाधिकार उल्लंघन और हिरासत में मौतों के मामले में अभी बहुत कुछ नहीं किया गया है । 
train-s3027	वहीं मीरवाइज उमर फारूक ने उम्मीद 	जताई	 है कि भारत और पाकिस्तान के बीच में जारी शांति प्रक्रिया नए साल में भी जारी रहेगी । 
train-s3067	डीएई से जुड़े रहे सुरेंदर ने 	कहा	 कि मुझे यह जानकर आश्चर्य है कि अमेरिकी विदेश विभाग ने कैसे मेरा नाम प्रतिबंधित किए गए लोगों की सूची में रखा है. 
train-s3145	उन्होंने 	बताया	 कि लंबी दूरी के निगरानी विमान '1 पी३सी ओरियन '2 को अमरीका लीज पर देने को तैयार है । 
train-s3157	अपने पूर्ववर्ती मणि शंकर अय्यर के उलट तेल कंपनियों के मुकाबले आम जनता के हित को तरजीह देते हुए नव - नियुक्त पेट्रोलियम एवं प्राकृतिक गैस मंत्री मुरली देवड़ा ने साफ 	कर	 दिया है कि फिलहाल सरकार का घरेलू गैस यानि एलपीजी और केरोसीन के दाम बढ़ाने का कोई इरादा नहीं है । 
train-s3175	नैयर ने 	कहा	 कि अगर इस गेम शो का प्रसारण हफ्ते में तीन दिन किया जाए तो स्टॉक २३ दिसंबर तक चलेगा । 
train-s3211	हालांकि महीनों बाद सुलह - सफाई होने पर आरईएल के वार्षिक बैठक में ८ जून को अनिल अंबानी ने 	कहा	 था कि दादरी प्लांट को आरआईएल से गैस मिलेगी । 
train-s3245	स्पेशल सेल के संयुक्त आयुक्त कर्नल सिंह ने संवाददाता सम्मेलन में 	बताया	 कि मारा गया बदमाश जनमेजय उर्फ़ मोनी मेरठ के गांव कलंजरी का रहने वाला था । 
train-s3265	राज्य सरकार ने 	कहा	 कि अभियोजन द्वारा मामले को साबित करने की संभावना नहीं थी. 
train-s3268	विधि विभाग द्वारा राज्य सरकार की ओर दाखिल शपथ में साफ़ 	कहा	 गया है कि 'मामले (तसलीमुद्दीन के खिलाफ़) को आगे बढ़ाने का कोई लाभ नहीं है, क्योंकि इसमें अभियोजन को सफलता मिलने के आसार नहीं हैं. 
train-s3284	इस बैठक में सर्वसम्मति से प्रस्ताव पारित कर 	कहा	 गया कि वे सरकार के रवैये के खिलाफ सदन का बहिष्कार जारी रखेंगे । 
train-s3299	वहीं इटली के प्रधानमंत्री सिलवियो बरलूसकोनी ने 	कहा	 कि नीदरलैंड और फ्रांस की ओर से संविधान को खारिज करने के बाद किसी के पास यूरोप के भविष्य को लेकर कोई जवाब नहीं है. 
train-s3304	प्रस्ताव का समर्थन करने वाले जर्मन विपक्ष नेता बूटर बोस ने 	कहा	 कि उनका मानना है कि कहानी खत्म हो चुकी है और दो महत्वपूर्ण देशों ने प्रस्ताव खारिज कर दिया है. 
train-s3309	उन्होंने 	कहा	 कि पेंशन निधि नियमन विकास प्राधिकरण सुनिश्चित करेगा कि एक नियमन व्यवस्था हो. 
train-s3312	लेकिन वाम दलों ने साफ़ 	कर	 दिया है कि वे वित्तमंत्री की योजना की हवा निकालने में कोई कसर नहीं छोड़ेंगे. 
train-s3439	अंडमान निकोबार में राहत और बचाव का काम देख रहे गृहराज्य मंत्री श्रीप्रकाश जायसवाल ने रविवार को 	कहा	, मृतकों की गिनती से ज्यादा अब बचे लोगों तक राहत पहुंचाना जरूरी है । 
train-s3569	जस्टिस एस. बी. सिन्हा और जस्टिस पी. के. बालासुब्रह्मण्यम ने कहा कि भारतीय संविधान के अनुच्छेद ४७ के तहत शासन पर जिम्मेदारी 	डाली	 गई है कि वह राज्य में शराब के सेवन में कमी लाने की कोशिश करे । 
train-s3647	भारत सरकार अपने पहली बार के प्रयासों में विफल रही थी, लेकिन अब यह सरकार पर निर्भर 	करता	 है कि वह दोबारा कोशिश करे और एंडरसन को वापस लाए और उस पर मुकदमा चलाए । 
train-s3650	उन्होंने 	कहा	 कि इस बारे में विधि अधिकारी आगे फैसला करेंगे । 
train-s3659	पार्टी सूत्रों के मुताबिक कांग्रेस अध्यक्ष सोनिया गांधी 	चाहती	 हैं कि राहुल की अपनी छवि बने । 
train-s3696	जबकि पूर्व प्रधानमंत्री अटल बिहारी वाजपेयी को सम्मन देने और लाल कृष्ण आडवाणी को गवाह के तौर पर दोबारा बुलाने की याचिका पर आयोग के अध्यक्ष जस्टिस एमएस लिब्रहान ने 	कहा	 कि इन बातों पर वे अंतरिम रिपोर्ट लिखने के दौरान विचार करेंगे । 
train-s3699	हालांकि अपना बयान दर्ज कराने के साथ ही कल्याण ने सवाल 	उठाया	 कि क्या अयोध्या में विवादित राम जन्मभूमि व बाबरी ढांचे के विध्वंस में भाजपा व विहिप की साजिश को केंद्र में कांग्रेस नेतृत्व वाली पी. वी. नरसिंह राव सरकार का समर्थन हासिल था । 
train-s3740	इस बीच मध्य प्रदेश की पूर्व मुख्यमंत्री उमा भारती ने दिल्ली में एक बयान में 	कहा	 कि भोजशाला में शांति बनाए रखने के लिए सभी लोग कानून - व्यवस्था का सम्मान करें । 
train-s3767	बाद में उसे जमानत मिल गई, लेकिन अदालत ने मुंशी को निर्देश 	दिया	 है कि वह देश न छोड़े । 
train-s3790	दिल्ली पुलिस ने शनिवार को एक बयान जारी कर 	कहा	 कि इस मामले में मुंशी को गिरफ्तार करने की जरूरत नहीं थी । 
train-s3793	इस संबंध में कोलकाता पुलिस से 	कहा	 गया था कि वह मुंशी को जांच में शामिल होने के संबंध में सूचित करे । 
train-s3856	इसके लिए आपको सिर्फ इतना 	करना	 होगा कि सीडैक, तिरुअनंतपुरम की वेबसाइट ईआरडीसीआईटीवीएम. ओआरजी पर जा कर रिसोर्स सेंटर फॉर साइबर फोरेंसिक का बटन क्लिक करें । 
train-s3859	सीडैक के कार्यकारी निदेशक राजन टी. जोसफ ने तिरुअनंतपुर से टेलीफोन पर हुई बातचीत में 	कहा	 कि आप पुलिस के पास न भी जाना चाहें तो एक जवाबी मेल भेज दें कि मैंने तुम्हारे बारे में ये जानकारियां जुटा ली हैं । 
